                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    150,                 1.7672,                0.99671,                0.95076,                0.77664,                 0.8044,                0.81614,                0.33519,                 1.8598,                0.89182,                0.97932,              0.0070498,              0.0070498,              0.0070498
                    151,                  1.836,                 1.0282,                0.96472,                0.73027,                0.79927,                0.80403,                0.33368,                 1.8812,                0.92638,                0.98729,                0.00703,                0.00703,                0.00703
                    152,                 1.7126,                 1.1071,                0.94661,                0.77095,                0.79997,                0.81846,                0.33328,                 1.8547,                  1.026,                0.98298,              0.0070102,              0.0070102,              0.0070102
                    153,                  1.732,                0.98436,                0.94131,                0.72075,                0.73877,                0.77038,                0.32874,                 1.9495,                0.89455,                 1.0007,              0.0069904,              0.0069904,              0.0069904
                    154,                 1.8097,                0.99536,                0.95547,                0.72075,                0.73877,                0.77038,                0.32874,                 1.9495,                0.89455,                 1.0007,              0.0069706,              0.0069706,              0.0069706
                    155,                 1.8305,                0.97209,                0.96173,                0.76008,                0.77097,                0.78648,                0.30092,                 1.9279,                0.92371,                0.99804,              0.0069508,              0.0069508,              0.0069508
                    156,                 1.8239,                 1.0296,                0.96756,                0.94122,                0.74215,                0.78377,                0.34216,                 1.8585,                0.88798,                0.98418,               0.006931,               0.006931,               0.006931
                    157,                 1.8107,                0.98542,                0.95114,                0.74565,                0.77099,                0.77829,                0.29532,                 1.9906,                0.94611,                 1.0103,              0.0069112,              0.0069112,              0.0069112
                    158,                 1.8309,                 1.0577,                0.95699,                0.74565,                0.77099,                0.77829,                0.29532,                 1.9906,                0.94611,                 1.0103,              0.0068914,              0.0068914,              0.0068914
                    159,                 1.7852,                0.99677,                0.96277,                0.94575,                0.74956,                0.76872,                0.32982,                  1.869,                0.92874,                0.98644,              0.0068716,              0.0068716,              0.0068716
                    160,                 1.8331,                  0.998,                0.96334,                0.90066,                0.76361,                0.74852,                 0.3003,                 1.9263,                0.93153,                  0.991,              0.0068518,              0.0068518,              0.0068518
